RFY-PAD-District,RFY_ID,RFY_BPCD,CATHYDTRMT,COKING,Crude_API,GSL_Yield_PAD,DSL_Yield_PAD,RESID_Yield_PAD,WTI_Acq_Cost,SPECF_CRCK_PAD-1A,SPECF_CRCK_PAD-1B,SPECF_CRCK_PAD-1C,SPECF_CRCK_PAD-2,SPECF_CRCK_PAD-3,SPECF_CRCK_PAD-4,SPECF_CRCK_PAD-5,SPECF_RFY_CRCK,Dist_PAD-1A,Dist_PAD-1B,Dist_PAD-1C,Dist_PAD-2,Dist_PAD-3,Dist_PAD-4,Dist_PAD-5,WTI_Price,BPD_DENS_PAD-1A,BPD_DENS_PAD-1B,BPD_DENS_PAD-1C,BPD_DENS_PAD-2,BPD_DENS_PAD-3,BPD_DENS_PAD-4,BPD_DENS_PAD-5,MRKT_RESIST_PAD-1A,MRKT_RESIST_PAD-1B,MRKT_RESIST_PAD-1C,MRKT_RESIST_PAD-2,MRKT_RESIST_PAD-3,MRKT_RESIST_PAD-4,MRKT_RESIST_PAD-5,REVNUE_PAD-1A,REVNUE_PAD-1B,REVNUE_PAD-1C,REVNUE_PAD-2,REVNUE_PAD-3,REVNUE_PAD-4,REVNUE_PAD-5
PAD-3-3,RFY-001,87500,1433000,3080090,30.170833333333338,43.775,41.59166666666667,9.083333333333332,101.55166666666668,2.663173618673248,4.010721362930212,4.991845693640825,9.029150724809952,9.402363130211711,8.626171378821768,11.961942131765564,50.68536804085328,1418.4285714285713,1073.7777777777778,655.5333333333333,864.3529411764706,610.3125,1622.5,2087.2,97.90583333333332,4.153152917051259,1.688251850207953,2.2474166276389647,1.2124986268225835,3.094998290957032,4.402047040367494,0.6809011705752805,0.12706591157168115,0.15056900558988429,0.1452373099237133,0.15510536321052074,0.13715552855364752,0.1246926796154099,0.1601742015351431,122.51066019791666,128.18876470166668,135.9219376133182,159.76468095525001,170.10423052874998,170.73111974625002,176.23249552125003
PAD-3-3,RFY-002,48000,1433000,3080090,30.170833333333338,43.775,41.59166666666667,9.083333333333332,101.55166666666668,2.628995891646336,3.974119550609155,4.957958844661914,8.945316191314891,9.689982949269046,8.680436322019892,11.995611016393672,50.87242076591491,1253.857142857143,910.5555555555555,576.8,707.4117647058823,654.8125,1521.75,2064.36,97.90583333333332,2.5773329058653864,1.092140172243931,1.4011553920871131,0.8127056439443017,1.5824460098309276,2.5747155652848583,0.3776555712308585,0.12543521652060663,0.1491949140025438,0.14425137504320248,0.15366522934149512,0.14135113850393297,0.12547708800232935,0.16062503858588964,122.51066019791666,128.18876470166668,135.9219376133182,159.76468095525001,170.10423052874998,170.73111974625002,176.23249552125003
PAD-3-3,RFY-003,4100,1433000,3080090,30.170833333333338,43.775,41.59166666666667,9.083333333333332,101.55166666666668,2.6419886377280197,3.9960945131843144,4.948552545459882,9.03671259637122,9.516188894492528,8.688529026374459,11.971486553085475,50.7995527666959,1380.4285714285713,1036.3333333333333,617.9333333333333,872.4705882352941,645.4375,1654.875,2124.96,97.90583333333332,0.1999619009594157,0.08196491306000045,0.11171527280582358,0.05628561008813167,0.1371305720935702,0.202232054120857,0.03133813818463205,0.12605512921165793,0.15001988985187564,0.14397769959802975,0.15523526322778802,0.13881594441365555,0.12559406933124007,0.160302004365753,122.51066019791666,128.18876470166668,135.9219376133182,159.76468095525001,170.10423052874998,170.73111974625002,176.23249552125003
PAD-3-4,RFY-009,83000,1433000,3080090,29.845,30.075,36.294999999999995,3.925,101.55166666666668,1.7487781306224828,5.782853080452194,8.022203826397897,10.122610202243719,8.868163196232631,8.173214941169894,11.909260149725947,54.627083526844764,1574.857142857143,1222.5555555555557,911.9333333333333,719.8823529411765,449.5625,1306.875,1752.96,97.90583333333332,3.54825045719714,1.406543221276277,1.5324464896679053,1.3809593073285331,3.9855901806585288,5.184123914430023,0.7690351316151112,0.13345631232182936,0.15350192552355893,0.15232351599274974,0.1537413818015139,0.12936296903605157,0.11814512224847327,0.15946877307582327,114.65541650208331,139.2245040641667,154.21723031331817,167.39347245525002,170.10423052874998,170.73111974625002,176.23249552125003
PAD-3-4,RFY-010,7500,1433000,3080090,29.845,30.075,36.294999999999995,3.925,101.55166666666668,1.7452875828663834,5.778191864116828,8.024364504155624,10.112867512245478,8.924950909324021,8.152348606262315,11.907041797306405,54.645052776277055,1574.142857142857,1220.3333333333333,921.4666666666667,717.1176470588235,463.25,1308.625,1758.96,97.90583333333332,0.32077052867178985,0.1273287226785005,0.13704145172028404,0.12526656542318837,0.349502640249735,0.46781848928649267,0.06925408471359987,0.13318993454448008,0.15337819668715133,0.15236454237902794,0.15359341061692147,0.1301913510817711,0.1178434960577664,0.15943906863288168,114.65541650208331,139.2245040641667,154.21723031331817,167.39347245525002,170.10423052874998,170.73111974625002,176.23249552125003
PAD-5,RFY-011,363000,586800,831100,27.650833333333335,47.833333333333336,39.49722222222222,7.316666666666666,105.00833333333333,2.9261810995422364,3.7989517190244877,5.0120270389953925,8.879088785407673,9.963347592853482,6.078103143208587,9.079630594104128,45.737329973135985,2995.714285714286,2682.4444444444443,2512.6666666666665,1883.2058823529412,1455.0625,1009.375,380.224,97.90583333333332,8.157997617693253,2.803622147337163,2.432439590628917,2.3087299640845846,5.385544296434952,29.355224940442117,15.506264671970067,0.14604998866735264,0.15958142617603024,0.1605194690156137,0.16083210474504175,0.1530564601167367,0.09248091073043792,0.127479640548787,125.04380972222224,128.81405941347225,136.23212861331817,160.21552470525003,170.10423052874998,170.73111974625002,176.23249552125003
PAD-5,RFY-012,269000,586800,831100,27.650833333333335,47.833333333333336,39.49722222222222,7.316666666666666,105.00833333333333,2.925665758197771,3.7987864139970964,5.011925358635958,8.879015527329283,9.965075166698247,6.080125034017382,9.078202264755403,45.73879552363114,3000.0,2687.0,2518.0666666666666,1887.8235294117646,1461.8125,1012.5,381.048,97.90583333333332,6.036821920710271,2.0740929091062545,1.79868607622186,1.7066921926938585,3.9725121507480647,21.686455713704333,11.466019799453871,0.14602426722532338,0.1595744822572926,0.16051621251336848,0.16083077777881563,0.1530829990219396,0.09251167465447625,0.12745958654878406,125.04380972222224,128.81405941347225,136.23212861331817,160.21552470525003,170.10423052874998,170.73111974625002,176.23249552125003
PAD-5,RFY-013,245271,586800,831100,27.650833333333335,47.833333333333336,39.49722222222222,7.316666666666666,105.00833333333333,2.8974750593017164,3.7903599119677227,5.013663681374582,8.874246476138277,10.05507544499505,5.928718704509504,9.271422855218548,45.830962133505395,3079.5714285714284,2806.222222222222,2786.266666666667,2039.7941176470588,1784.5,1076.75,448.876,97.90583333333332,5.362079634920527,1.810788532401447,1.4821557364002214,1.4402045653073443,2.9671142883741783,18.593564424293902,8.874827286345747,0.14461722811385566,0.1592205127122761,0.1605718855256668,0.1607443931779603,0.15446557891060173,0.09020796329694743,0.13017243826269198,125.04380972222224,128.81405941347225,136.23212861331817,160.21552470525003,170.10423052874998,170.73111974625002,176.23249552125003
PAD-5,RFY-014,161000,586800,831100,27.650833333333335,47.833333333333336,39.49722222222222,7.316666666666666,105.00833333333333,2.8996823376714866,3.791190605577211,5.014646408066385,8.875428320697061,10.05832389260118,5.923351564620133,9.259586576679721,45.82220970591318,3070.285714285714,2796.8888888888887,2778.3333333333335,2030.8235294117646,1777.5,1067.0,443.26800000000003,97.90583333333332,3.5304041399897446,1.1925984911788408,0.9756899764179013,0.9495503670912153,1.9553337304008287,12.31665532737874,5.899287877161209,0.14472739661331765,0.15925540740974056,0.16060335917206345,0.16076580061654602,0.1545154814044007,0.09012629999290474,0.13000625479102687,125.04380972222224,128.81405941347225,136.23212861331817,160.21552470525003,170.10423052874998,170.73111974625002,176.23249552125003
PAD-5,RFY-015,160000,586800,831100,27.650833333333335,47.833333333333336,39.49722222222222,7.316666666666666,105.00833333333333,2.92577981777366,3.7988367814373287,5.011874608669993,8.879118582377263,9.962956853784261,6.083178320955012,9.076637782046074,45.73838274704359,3000.4285714285716,2687.4444444444443,2517.0666666666666,1888.1764705882354,1458.125,1013.0,380.784,97.90583333333332,3.5901618681109833,1.2334571893357331,1.0702754928433187,1.0149431523385124,2.3688079504212927,12.892640379967863,6.824665733732991,0.1460299601059754,0.15957659802725746,0.1605145871515087,0.1608326444749003,0.15305045760219962,0.092558131706958,0.1274376209312005,125.04380972222224,128.81405941347225,136.23212861331817,160.21552470525003,170.10423052874998,170.73111974625002,176.23249552125003
