RFY-PADD,RFY-PAD-Sub,RFY-PAD-District,RFY_ID,RFY_BPCD,Crude_API,NG_Yield_PAD,GSL_Yield_PAD,DSL_Yield_PAD,RESID_Yield_PAD,WTI_Price,WTI_Diff,WTI_Acq_Cost,Brent_Price,Brent_Diff,BPD_DENS_SPECF,SPECF_RFY_CRCK
PAD-3,PAD-3,PAD-3-3,RFY-001,87500,30.170833333333338,9.083333333333332,43.775,41.59166666666667,11.825,97.90583333333332,3.645833333333357,101.55166666666668,108.63749999999999,-3.8958333333333286,1.8921205214963353,22.575310833394106
PAD-3,PAD-3,PAD-3-3,RFY-002,48000,30.170833333333338,9.083333333333332,43.775,41.59166666666667,11.825,97.90583333333332,3.645833333333357,101.55166666666668,108.63749999999999,-3.8958333333333286,1.134969006670798,22.567568755197364
PAD-3,PAD-3,PAD-3-3,RFY-003,4100,30.170833333333338,9.083333333333332,43.775,41.59166666666667,11.825,97.90583333333332,3.645833333333357,101.55166666666668,108.63749999999999,-3.8958333333333286,0.08897834721902642,22.571499126355537
PAD-3,PAD-3,PAD-3-4,RFY-009,83000,29.845,3.925,30.075,36.294999999999995,29.451190476190483,97.90583333333332,3.645833333333357,101.55166666666668,108.63749999999999,-3.8958333333333286,1.9083131209266169,14.761021009356199
PAD-3,PAD-3,PAD-3-4,RFY-010,7500,29.845,3.925,30.075,36.294999999999995,29.451190476190483,97.90583333333332,3.645833333333357,101.55166666666668,108.63749999999999,-3.8958333333333286,0.17076143880902261,14.760297067154205
PAD-5,PAD-5,PAD-5,RFY-011,363000,27.650833333333335,7.316666666666666,47.833333333333336,39.49722222222222,12.866666666666665,97.90583333333332,7.102500000000006,105.00833333333333,108.63749999999999,-4.725833333333341,6.615212706376374,21.267259485883578
PAD-5,PAD-5,PAD-5,RFY-012,269000,27.650833333333335,7.316666666666666,47.833333333333336,39.49722222222222,12.866666666666665,97.90583333333332,7.102500000000006,105.00833333333333,108.63749999999999,-4.725833333333341,4.889662390153559,21.267103368676615
PAD-5,PAD-5,PAD-5,RFY-013,245271,27.650833333333335,7.316666666666666,47.833333333333336,39.49722222222222,12.866666666666665,97.90583333333332,7.102500000000006,105.00833333333333,108.63749999999999,-4.725833333333341,3.9459749886297093,21.28017955808817
PAD-5,PAD-5,PAD-5,RFY-014,161000,27.650833333333335,7.316666666666666,47.833333333333336,39.49722222222222,12.866666666666665,97.90583333333332,7.102500000000006,105.00833333333333,108.63749999999999,-4.725833333333341,2.6120428512678533,21.279437584289482
PAD-5,PAD-5,PAD-5,RFY-015,160000,27.650833333333335,7.316666666666666,47.833333333333336,39.49722222222222,12.866666666666665,97.90583333333332,7.102500000000006,105.00833333333333,108.63749999999999,-4.725833333333341,2.9098267927242376,21.267008545806288
PAD-5,PAD-5,PAD-5,RFY-016,156400,27.650833333333335,7.316666666666666,47.833333333333336,39.49722222222222,12.866666666666665,97.90583333333332,7.102500000000006,105.00833333333333,108.63749999999999,-4.725833333333341,2.537413055517343,21.279437584289486
PAD-5,PAD-5,PAD-5,RFY-017,145000,27.650833333333335,7.316666666666666,47.833333333333336,39.49722222222222,12.866666666666665,97.90583333333332,7.102500000000006,105.00833333333333,108.63749999999999,-4.725833333333341,2.3494905293214177,21.28011234861784
PAD-5,PAD-5,PAD-5,RFY-018,139000,27.650833333333335,7.316666666666666,47.833333333333336,39.49722222222222,12.866666666666665,97.90583333333332,7.102500000000006,105.00833333333333,108.63749999999999,-4.725833333333341,2.5744166538846196,21.264734298793233
PAD-5,PAD-5,PAD-5,RFY-019,120200,27.650833333333335,7.316666666666666,47.833333333333336,39.49722222222222,12.866666666666665,97.90583333333332,7.102500000000006,105.00833333333333,108.63749999999999,-4.725833333333341,1.9379813601271083,21.28102870292063
PAD-5,PAD-5,PAD-5,RFY-020,85000,27.650833333333335,7.316666666666666,47.833333333333336,39.49722222222222,12.866666666666665,97.90583333333332,7.102500000000006,105.00833333333333,108.63749999999999,-4.725833333333341,1.543052009105663,21.268462924124677
PAD-5,PAD-5,PAD-5,RFY-021,26000,27.650833333333335,7.316666666666666,47.833333333333336,39.49722222222222,12.866666666666665,97.90583333333332,7.102500000000006,105.00833333333333,108.63749999999999,-4.725833333333341,0.47757350201055726,21.262329033688133
PAD-5,PAD-5,PAD-5,RFY-022,15000,27.650833333333335,7.316666666666666,47.833333333333336,39.49722222222222,12.866666666666665,97.90583333333332,7.102500000000006,105.00833333333333,108.63749999999999,-4.725833333333341,0.27552317423685996,21.262329033688133
PAD-5,PAD-5,PAD-5,RFY-023,9500,27.650833333333335,7.316666666666666,47.833333333333336,39.49722222222222,12.866666666666665,97.90583333333332,7.102500000000006,105.00833333333333,108.63749999999999,-4.725833333333341,0.15935182640518483,21.26718872952689
PAD-5,PAD-5,PAD-5,RFY-024,8500,27.650833333333335,7.316666666666666,47.833333333333336,39.49722222222222,12.866666666666665,97.90583333333332,7.102500000000006,105.00833333333333,108.63749999999999,-4.725833333333341,0.15571243981468638,21.267076763908147
PAD-5,PAD-5,PAD-5,RFY-025,6300,27.650833333333335,7.316666666666666,47.833333333333336,39.49722222222222,12.866666666666665,97.90583333333332,7.102500000000006,105.00833333333333,108.63749999999999,-4.725833333333341,0.11436738420430209,21.268462924124677
PAD-4,PAD-4,PAD-4,RFY-026,67000,33.498333333333335,5.858333333333333,47.70000000000001,38.13333333333333,12.45,97.90583333333332,-17.440833333333316,80.465,108.63749999999999,-19.92583333333333,1.6938221175353105,42.94040860983927
